file,line,type,commit,author,date,time,timezone,datetime,depth,length
resume/style.css,44,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,29
resume/style.css,45,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,21
resume/style.css,46,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,0
resume/style.css,47,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,0
resume/style.css,48,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,9
resume/style.css,49,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,26
resume/style.css,50,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,38
resume/style.css,51,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,21
resume/style.css,52,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,0
resume/style.css,53,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,0
resume/style.css,54,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,0
resume/style.css,55,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,12
resume/style.css,56,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,46
resume/style.css,57,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,70
resume/style.css,58,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,0
resume/style.css,59,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,0
resume/style.css,60,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,14
resume/style.css,61,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,51
resume/style.css,62,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,37
resume/style.css,63,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,41
resume/style.css,64,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,42
resume/style.css,65,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,53
resume/style.css,66,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,13
resume/style.css,67,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,19
resume/style.css,68,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,0
